Category,CptNo,Range,Center,Latitude,Longitude,Species,Date,Quantity(kg)
cpt,Gj nbd-1565,Rajpipla,Rajpipla,22.0297,73.614565,Buchanania lanzan - ચારોલી,2026-04-14,3.2
cpt,Gj nbd-1568,Rajpipla,Rajpipla,22.029868,73.61458,Buchanania lanzan - ચારોલી,2026-04-14,1.5
cpt,Gj nbd-1041,Rajpipla,Rajpipla,21.659428,73.563465,Pongamia pinnata - કરંજ,2026-04-20,12.8
cpt,Gj nbd-1042,Rajpipla,Rajpipla,21.659028,73.563325,Pongamia pinnata - કરંજ,2026-04-20,14.5
cpt,Gj nbd-542,Rajpipla,Rajpipla,21.630644,73.581078,Terminalia arjuna - અર્જુન સાદડ,2026-04-20,6
cpt,Gj nbd-464,Rajpipla,Rajpipla,21.683862,73.689987,Haldina cordifolia - હલ્દુ,2026-04-20,1.2
cpt,Gj nbd-465,Rajpipla,Rajpipla,21.684056,73.690004,Haldina cordifolia - હલ્દુ,2026-04-20,1.1
cpt,Gj nbd-462,Rajpipla,Rajpipla,21.684048,73.69003,Haldina cordifolia - હલ્દુ,2026-04-20,2.5
cpt,Gj nbd-1611,Rajpipla,Rajpipla,21.672056,73.79317,Ficus exasperrata - કરવતી,2026-04-20,1
cpt,Gj nbd-463,Rajpipla,Rajpipla,21.683981,73.690438,Haldina cordifolia - હલ્દુ,2026-04-20,1.2
cpt,Gj nbd-631,Rajpipla,Rajpipla,21.653238,73.815042,Bauhinia purpurea - સફેદ કંચનાર,2026-04-20,3.2
cpt,Gj nbd-634,Rajpipla,Rajpipla,21.653184,73.813843,Bauhinia purpurea - સફેદ કંચનાર,2026-04-20,3
cpt,Gj nbd-1235,Rajpipla,Rajpipla,21.647816,73.819128,Bauhinia purpurea - સફેદ કંચનાર,2026-04-20,3.8
cpt,Gj nbd-635,Rajpipla,Rajpipla,21.647623,73.819348,Bauhinia purpurea - સફેદ કંચનાર,2026-04-20,3.5
cpt,Gj nbd-213,Rajpipla,Rajpipla,21.657961,73.825399,Mitragyna parvifolia - કલમ,2026-04-20,0.7
cpt,Gj nbd-212,Rajpipla,Rajpipla,21.658071,73.825558,Mitragyna parvifolia - કલમ,2026-04-20,0.8
cpt,Gj nbd-214,Rajpipla,Rajpipla,21.658166,73.825826,Mitragyna parvifolia - કલમ,2026-04-20,0.5
cpt,Gj nbd-942,Rajpipla,Rajpipla,21.787523,73.497039,Erythrina Suberosa - ઝાંગરીયો ખાખરો,2026-04-20,10
cpt,Gj nbd 1036,Rajpipla,Rajpipla,21.660003,73.563867,Erythrina Suberosa - ઝાંગરીયો ખાખરો,2026-01-30,5
cpt,Gj nbd 1048,Rajpipla,Rajpipla,21.657763,73.563939,Erythrina Suberosa - ઝાંગરીયો ખાખરો,2026-01-30,6.5
cpt,Gj nbd-156,Rajpipla,Rajpipla,21.58574,73.705378,Dalbergia latifolia - સીસમ,2026-01-30,2.6
cpt,Gj nbd -154,Rajpipla,Rajpipla,21.585402,73.705351,Dalbergia latifolia - સીસમ,2026-01-30,2.5
cpt,Gj nbd-156,Rajpipla,Rajpipla,21.58574,73.705378,Dalbergia latifolia - સીસમ,2026-01-30,2.6
cpt,Gj nbd-163,Rajpipla,Rajpipla,21.58575,73.704367,Dalbergia latifolia - સીસમ,2026-01-30,1.8
cpt,Gj nbd-158,Rajpipla,Rajpipla,21.586376,73.706124,Dalbergia latifolia - સીસમ,2026-01-30,2.9
cpt,Gj nbd-1608,Rajpipla,Rajpipla,21.73045,73.755861,Dalbergia latifolia - સીસમ,2026-02-06,15
cpt,Gj nbd-8,Rajpipla,Rajpipla,21.860752,73.5199,Terminalia bellarica - બહેડા,2026-03-20,15.8
cpt,Gj nbd-9,Rajpipla,Rajpipla,21.860711,73.519932,Terminalia bellarica - બહેડા,2026-03-20,20.3
cpt,Gj nbd-6,Rajpipla,Rajpipla,21.860659,73.520239,Terminalia bellarica - બહેડા,2026-03-20,18.7
cpt,Gj nbd-7,Rajpipla,Rajpipla,21.860648,73.520104,Terminalia bellarica - બહેડા,2026-03-20,19.2
cpt,Gj nbd-1584,Rajpipla,Rajpipla,21.816872,73.565768,Heterophragma quadriculare - વરસ,2026-04-24,1.2
cpt,Gj nbd-1551,Rajpipla,Rajpipla,21.815353,73.565786,Heterophragma quadriculare - વરસ,2026-04-24,1.6
